EVENT-NAME,						NAIVE	,		INTERCHANGE
Elapsed time (seconds), 		 0.192241575		,	0.146865280		
Instructions per cycle, 			1.7077756412	, 10.672218514			
L1 cache miss ratio, 					0.2097919834, 	0.03011876179		
L1 cache miss rate PTI, 				60.744724324, 	8.3937297098 			
Data TLB miss ratio, 					0.0003419320984 , 0.116385856			
Data TLB miss rate PTI, 				0.000000003043485, 0.000000048631127			
Branch mispredict ratio, 				0.002066387585,		0.002039079149	
Branch mispredict rate PTI, 			0.00000030726765, 	0.000000295164389			
